23 08 2017, 0.00, 23.39
24 08 2017, 15.96, 21.10
25 08 2017, 0.00, 22.10
26 08 2017, 0.00, 30.29
27 08 2017, 0.00, 31.08
28 08 2017, 0.00, 24.79
29 08 2017, 0.00, 25.85
30 08 2017, 0.05, 24.35
31 08 2017, 78.50, 15.59
01 09 2017, 133.07, 19.35
02 09 2017, 0.12, 15.72
03 09 2017, 0.00, 36.90
04 09 2017, 0.00, 25.36
05 09 2017, 0.37, 30.88
06 09 2017, 29.76, 17.57
07 09 2017, 31.67, 21.18
08 09 2017, 4.47, 28.66
09 09 2017, 182.79, 18.65
10 09 2017, 65.18, 19.58
11 09 2017, 63.74, 18.13
12 09 2017, 85.53, 20.28
13 09 2017, 40.11, 15.48
14 09 2017, 0.45, 15.14
15 09 2017, 93.46, 16.03
16 09 2017, 171.16, 18.48
17 09 2017, 1.15, 18.34
18 09 2017, 35.06, 15.62
19 09 2017, 29.69, 13.44
20 09 2017, 7.76, 24.24
21 09 2017, 0.11, 28.35
22 09 2017, 9.55, 13.63
23 09 2017, 6.50, 29.22
24 09 2017, 0.00, 26.95
25 09 2017, 0.00, 18.44
26 09 2017, 0.00, 18.80
27 09 2017, 0.00, 14.25
28 09 2017, 5.09, 15.68
29 09 2017, 0.00, 35.63
30 09 2017, 87.56, 18.51
01 10 2017, 0.00, 32.12
02 10 2017, 3.00, 26.66
04 10 2017, 0.00, 14.96
05 10 2017, 0.00, 24.28
06 10 2017, 0.00, 12.66
07 10 2017, 0.00, 22.27
08 10 2017, 0.00, 32.69
09 10 2017, 0.00, 24.98
10 10 2017, 0.82, 24.79
11 10 2017, 5.44, 22.50
12 10 2017, 6.78, 12.43
13 10 2017, 2.60, 32.95
14 10 2017, 2.34, 27.14
15 10 2017, 0.00, 17.89
16 10 2017, 17.39, 28.91
17 10 2017, 1.38, 10.33
18 10 2017, 0.00, 25.50
19 10 2017, 0.00, 21.83
20 10 2017, 13.54, 16.78
21 10 2017, 71.77, 16.63
22 10 2017, 53.42, 13.86
23 10 2017, 20.94, 30.91
24 10 2017, 0.00, 33.66
25 10 2017, 0.00, 20.16
26 10 2017, 0.00, 23.77
27 10 2017, 1.75, 23.18
28 10 2017, 0.00, 18.69
29 10 2017, 6.95, 21.69
30 10 2017, 0.00, 11.69
31 10 2017, 0.00, 22.18
01 11 2017, 0.00, 17.19
02 11 2017, 0.00, 14.88
03 11 2017, 0.00, 23.36
04 11 2017, 6.35, 24.93
05 11 2017, 6.50, 9.34
06 11 2017, 4.79, 13.44
07 11 2017, 47.31, 15.27
08 11 2017, 0.02, 10.39
09 11 2017, 0.00, 26.07
10 11 2017, 0.20, 19.90
11 11 2017, 0.00, 27.83
12 11 2017, 0.36, 24.46
13 11 2017, 49.99, 10.93
14 11 2017, 0.47, 15.58
15 11 2017, 0.00, 17.41
16 11 2017, 7.66, 19.79
17 11 2017, 0.00, 7.04
18 11 2017, 0.00, 17.29
19 11 2017, 35.13, 21.58
20 11 2017, 5.03, 16.76
21 11 2017, 0.00, 13.81
22 11 2017, 4.43, 18.30
23 11 2017, 34.36, 21.92
24 11 2017, 20.31, 12.93
25 11 2017, 2.89, 9.25
26 11 2017, 2.67, 7.63
27 11 2017, 0.00, 14.91
28 11 2017, 15.79, 10.96
29 11 2017, 252.33, 10.70
