00Z 26 08 2017, 0.00, 30.29
12Z 26 08 2017, 0.00, 32.15
00Z 27 08 2017, 0.00, 31.08
12Z 27 08 2017, 0.00, 30.21
00Z 28 08 2017, 0.00, 24.79
12Z 28 08 2017, 0.00, 22.95
00Z 29 08 2017, 0.00, 25.85
12Z 29 08 2017, 0.26, 32.29
00Z 30 08 2017, 0.05, 24.35
12Z 30 08 2017, 19.46, 16.57
00Z 31 08 2017, 78.50, 15.59
12Z 31 08 2017, 134.51, 21.50
00Z 01 09 2017, 133.07, 19.35
12Z 01 09 2017, 11.07, 15.77
00Z 02 09 2017, 0.12, 15.72
12Z 02 09 2017, 10.12, 14.89
00Z 03 09 2017, 0.00, 36.90
12Z 03 09 2017, 91.66, 36.34
00Z 04 09 2017, 0.00, 25.36
12Z 04 09 2017, 0.42, 33.87
00Z 05 09 2017, 0.37, 30.88
12Z 05 09 2017, 0.00, 27.49
00Z 06 09 2017, 29.76, 17.57
12Z 06 09 2017, 17.99, 18.63
00Z 07 09 2017, 31.67, 21.18
12Z 07 09 2017, 12.04, 28.74
00Z 08 09 2017, 4.47, 28.66
12Z 08 09 2017, 145.34, 24.31
00Z 09 09 2017, 182.79, 18.65
12Z 09 09 2017, 276.62, 20.42
00Z 10 09 2017, 65.18, 19.58
12Z 10 09 2017, 0.02, 25.42
00Z 11 09 2017, 63.74, 18.13
12Z 11 09 2017, 84.05, 18.84
00Z 12 09 2017, 85.53, 20.28
12Z 12 09 2017, 19.65, 15.85
00Z 13 09 2017, 40.11, 15.48
12Z 13 09 2017, 69.04, 14.68
00Z 14 09 2017, 0.45, 15.14
12Z 14 09 2017, 194.87, 17.37
00Z 15 09 2017, 93.46, 16.03
12Z 15 09 2017, 63.81, 17.90
00Z 16 09 2017, 171.16, 18.48
12Z 16 09 2017, 33.27, 16.92
00Z 17 09 2017, 1.15, 18.34
12Z 17 09 2017, 72.53, 16.75
00Z 18 09 2017, 35.06, 15.62
12Z 18 09 2017, 17.55, 15.51
00Z 19 09 2017, 29.69, 13.44
12Z 19 09 2017, 35.41, 22.73
00Z 20 09 2017, 7.76, 24.24
12Z 20 09 2017, 0.00, 37.01
00Z 21 09 2017, 0.11, 28.35
12Z 21 09 2017, 16.64, 11.89
00Z 22 09 2017, 9.55, 13.63
12Z 22 09 2017, 10.12, 25.65
00Z 23 09 2017, 6.50, 29.22
12Z 23 09 2017, 0.00, 18.05
00Z 24 09 2017, 0.00, 26.95
12Z 24 09 2017, 2.04, 20.75
00Z 25 09 2017, 0.00, 18.44
12Z 25 09 2017, 0.00, 15.63
00Z 26 09 2017, 0.00, 18.80
12Z 26 09 2017, 0.00, 17.61
00Z 27 09 2017, 0.00, 14.25
12Z 27 09 2017, 0.00, 38.43
00Z 28 09 2017, 5.09, 15.68
12Z 28 09 2017, 9.32, 18.71
00Z 29 09 2017, 0.00, 35.63
12Z 29 09 2017, 78.76, 13.71
00Z 30 09 2017, 87.56, 18.51
12Z 30 09 2017, 27.44, 27.83
00Z 01 10 2017, 0.00, 32.12
12Z 01 10 2017, 0.00, 33.29
00Z 02 10 2017, 3.00, 26.66
12Z 02 10 2017, 0.00, 29.49
00Z 04 10 2017, 0.00, 14.96
